vendor,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,target
0,125.0,256.0,6000.0,256.0,16.0,128.0,199.0
1,29.0,8000.0,32000.0,32.0,8.0,32.0,253.0
1,29.0,8000.0,32000.0,32.0,8.0,32.0,253.0
1,29.0,8000.0,32000.0,32.0,8.0,32.0,253.0
1,29.0,8000.0,16000.0,32.0,8.0,16.0,132.0
1,26.0,8000.0,32000.0,64.0,8.0,32.0,290.0
1,23.0,16000.0,32000.0,64.0,16.0,32.0,381.0
1,23.0,16000.0,32000.0,64.0,16.0,32.0,381.0
1,23.0,16000.0,64000.0,64.0,16.0,32.0,749.0
1,23.0,32000.0,64000.0,128.0,32.0,64.0,1238.0
2,400.0,1000.0,3000.0,0.0,1.0,2.0,23.0
2,400.0,512.0,3500.0,4.0,1.0,6.0,24.0
3,60.0,2000.0,8000.0,65.0,1.0,8.0,70.0
3,50.0,4000.0,16000.0,65.0,1.0,8.0,117.0
4,350.0,64.0,64.0,0.0,1.0,4.0,15.0
4,200.0,512.0,16000.0,0.0,4.0,32.0,64.0
5,167.0,524.0,2000.0,8.0,4.0,15.0,23.0
5,143.0,512.0,5000.0,0.0,7.0,32.0,29.0
5,143.0,1000.0,2000.0,0.0,5.0,16.0,22.0
5,110.0,5000.0,5000.0,142.0,8.0,64.0,124.0
5,143.0,1500.0,6300.0,0.0,5.0,32.0,35.0
5,143.0,3100.0,6200.0,0.0,5.0,20.0,39.0
5,143.0,2300.0,6200.0,0.0,6.0,64.0,40.0
5,110.0,3100.0,6200.0,0.0,6.0,64.0,45.0
6,320.0,128.0,6000.0,0.0,1.0,12.0,28.0
6,320.0,512.0,2000.0,4.0,1.0,3.0,21.0
6,320.0,256.0,6000.0,0.0,1.0,6.0,28.0
6,320.0,256.0,3000.0,4.0,1.0,3.0,22.0
6,320.0,512.0,5000.0,4.0,1.0,5.0,28.0
6,320.0,256.0,5000.0,4.0,1.0,6.0,27.0
8,25.0,1310.0,2620.0,131.0,12.0,24.0,102.0
8,25.0,1310.0,2620.0,131.0,12.0,24.0,102.0
8,50.0,2620.0,10480.0,30.0,12.0,24.0,74.0
8,50.0,2620.0,10480.0,30.0,12.0,24.0,74.0
8,56.0,5240.0,20970.0,30.0,12.0,24.0,138.0
8,64.0,5240.0,20970.0,30.0,12.0,24.0,136.0
8,50.0,500.0,2000.0,8.0,1.0,4.0,23.0
8,50.0,1000.0,4000.0,8.0,1.0,5.0,29.0
8,50.0,2000.0,8000.0,8.0,1.0,5.0,44.0
7,50.0,1000.0,4000.0,8.0,3.0,5.0,30.0
7,50.0,1000.0,8000.0,8.0,3.0,5.0,41.0
7,50.0,2000.0,16000.0,8.0,3.0,5.0,74.0
7,50.0,2000.0,16000.0,8.0,3.0,6.0,74.0
7,50.0,2000.0,16000.0,8.0,3.0,6.0,74.0
9,133.0,1000.0,12000.0,9.0,3.0,12.0,54.0
9,133.0,1000.0,8000.0,9.0,3.0,12.0,41.0
9,810.0,512.0,512.0,8.0,1.0,1.0,18.0
9,810.0,1000.0,5000.0,0.0,1.0,1.0,28.0
9,320.0,512.0,8000.0,4.0,1.0,5.0,36.0
9,200.0,512.0,8000.0,8.0,1.0,8.0,38.0
10,700.0,384.0,8000.0,0.0,1.0,1.0,34.0
10,700.0,256.0,2000.0,0.0,1.0,1.0,19.0
10,140.0,1000.0,16000.0,16.0,1.0,3.0,72.0
10,200.0,1000.0,8000.0,0.0,1.0,2.0,36.0
10,110.0,1000.0,4000.0,16.0,1.0,2.0,30.0
10,110.0,1000.0,12000.0,16.0,1.0,2.0,56.0
10,220.0,1000.0,8000.0,16.0,1.0,2.0,42.0
11,800.0,256.0,8000.0,0.0,1.0,4.0,34.0
11,800.0,256.0,8000.0,0.0,1.0,4.0,34.0
11,800.0,256.0,8000.0,0.0,1.0,4.0,34.0
11,800.0,256.0,8000.0,0.0,1.0,4.0,34.0
11,800.0,256.0,8000.0,0.0,1.0,4.0,34.0
12,125.0,512.0,1000.0,0.0,8.0,20.0,19.0
13,75.0,2000.0,8000.0,64.0,1.0,38.0,75.0
13,75.0,2000.0,16000.0,64.0,1.0,38.0,113.0
13,75.0,2000.0,16000.0,128.0,1.0,38.0,157.0
16,90.0,256.0,1000.0,0.0,3.0,10.0,18.0
16,105.0,256.0,2000.0,0.0,3.0,10.0,20.0
16,105.0,1000.0,4000.0,0.0,3.0,24.0,28.0
16,105.0,2000.0,4000.0,8.0,3.0,19.0,33.0
16,75.0,2000.0,8000.0,8.0,3.0,24.0,47.0
16,75.0,3000.0,8000.0,8.0,3.0,48.0,54.0
16,175.0,256.0,2000.0,0.0,3.0,24.0,20.0
14,300.0,768.0,3000.0,0.0,6.0,24.0,23.0
14,300.0,768.0,3000.0,6.0,6.0,24.0,25.0
14,300.0,768.0,12000.0,6.0,6.0,24.0,52.0
14,300.0,768.0,4500.0,0.0,1.0,24.0,27.0
14,300.0,384.0,12000.0,6.0,1.0,24.0,50.0
14,300.0,192.0,768.0,6.0,6.0,24.0,18.0
14,180.0,768.0,12000.0,6.0,1.0,31.0,53.0
15,330.0,1000.0,3000.0,0.0,2.0,4.0,23.0
15,300.0,1000.0,4000.0,8.0,3.0,64.0,30.0
15,300.0,1000.0,16000.0,8.0,2.0,112.0,73.0
15,330.0,1000.0,2000.0,0.0,1.0,2.0,20.0
15,330.0,1000.0,4000.0,0.0,3.0,6.0,25.0
15,140.0,2000.0,4000.0,0.0,3.0,6.0,28.0
15,140.0,2000.0,4000.0,0.0,4.0,8.0,29.0
15,140.0,2000.0,4000.0,8.0,1.0,20.0,32.0
15,140.0,2000.0,32000.0,32.0,1.0,20.0,175.0
15,140.0,2000.0,8000.0,32.0,1.0,54.0,57.0
15,140.0,2000.0,32000.0,32.0,1.0,54.0,181.0
15,140.0,2000.0,32000.0,32.0,1.0,54.0,181.0
15,140.0,2000.0,4000.0,8.0,1.0,20.0,32.0
17,57.0,4000.0,16000.0,1.0,6.0,12.0,82.0
17,57.0,4000.0,24000.0,64.0,12.0,16.0,171.0
17,26.0,16000.0,32000.0,64.0,16.0,24.0,361.0
17,26.0,16000.0,32000.0,64.0,8.0,24.0,350.0
17,26.0,8000.0,32000.0,0.0,8.0,24.0,220.0
17,26.0,8000.0,16000.0,0.0,8.0,16.0,113.0
17,480.0,96.0,512.0,0.0,1.0,1.0,15.0
17,203.0,1000.0,2000.0,0.0,1.0,5.0,21.0
17,115.0,512.0,6000.0,16.0,1.0,6.0,35.0
17,1100.0,512.0,1500.0,0.0,1.0,1.0,18.0
17,1100.0,768.0,2000.0,0.0,1.0,1.0,20.0
17,600.0,768.0,2000.0,0.0,1.0,1.0,20.0
17,400.0,2000.0,4000.0,0.0,1.0,1.0,28.0
17,400.0,4000.0,8000.0,0.0,1.0,1.0,45.0
17,900.0,1000.0,1000.0,0.0,1.0,2.0,18.0
17,900.0,512.0,1000.0,0.0,1.0,2.0,17.0
17,900.0,1000.0,4000.0,4.0,1.0,2.0,26.0
17,900.0,1000.0,4000.0,8.0,1.0,2.0,28.0
17,900.0,2000.0,4000.0,0.0,3.0,6.0,28.0
17,225.0,2000.0,4000.0,8.0,3.0,6.0,31.0
17,225.0,2000.0,4000.0,8.0,3.0,6.0,31.0
17,180.0,2000.0,8000.0,8.0,1.0,6.0,42.0
17,185.0,2000.0,16000.0,16.0,1.0,6.0,76.0
17,180.0,2000.0,16000.0,16.0,1.0,6.0,76.0
17,225.0,1000.0,4000.0,2.0,3.0,6.0,26.0
17,25.0,2000.0,12000.0,8.0,1.0,4.0,59.0
17,25.0,2000.0,12000.0,16.0,3.0,5.0,65.0
17,17.0,4000.0,16000.0,8.0,6.0,12.0,101.0
17,17.0,4000.0,16000.0,32.0,6.0,12.0,116.0
17,1500.0,768.0,1000.0,0.0,0.0,0.0,18.0
17,1500.0,768.0,2000.0,0.0,0.0,0.0,20.0
17,800.0,768.0,2000.0,0.0,0.0,0.0,20.0
18,50.0,2000.0,4000.0,0.0,3.0,6.0,30.0
18,50.0,2000.0,8000.0,8.0,3.0,6.0,44.0
18,50.0,2000.0,8000.0,8.0,1.0,6.0,44.0
18,50.0,2000.0,16000.0,24.0,1.0,6.0,82.0
18,50.0,2000.0,16000.0,24.0,1.0,6.0,82.0
18,50.0,8000.0,16000.0,48.0,1.0,10.0,128.0
19,100.0,1000.0,8000.0,0.0,2.0,6.0,37.0
19,100.0,1000.0,8000.0,24.0,2.0,6.0,46.0
19,100.0,1000.0,8000.0,24.0,3.0,6.0,46.0
19,50.0,2000.0,16000.0,12.0,3.0,16.0,80.0
19,50.0,2000.0,16000.0,24.0,6.0,16.0,88.0
19,50.0,2000.0,16000.0,24.0,6.0,16.0,88.0
20,150.0,512.0,4000.0,0.0,8.0,128.0,33.0
21,115.0,2000.0,8000.0,16.0,1.0,3.0,46.0
21,115.0,2000.0,4000.0,2.0,1.0,5.0,29.0
21,92.0,2000.0,8000.0,32.0,1.0,6.0,53.0
21,92.0,2000.0,8000.0,32.0,1.0,6.0,53.0
21,92.0,2000.0,8000.0,4.0,1.0,6.0,41.0
21,75.0,4000.0,16000.0,16.0,1.0,6.0,86.0
21,60.0,4000.0,16000.0,32.0,1.0,6.0,95.0
21,60.0,2000.0,16000.0,64.0,5.0,8.0,107.0
21,60.0,4000.0,16000.0,64.0,5.0,8.0,117.0
21,50.0,4000.0,16000.0,64.0,5.0,10.0,119.0
21,72.0,4000.0,16000.0,64.0,8.0,16.0,120.0
21,72.0,2000.0,8000.0,16.0,6.0,8.0,48.0
21,40.0,8000.0,16000.0,32.0,8.0,16.0,126.0
21,40.0,8000.0,32000.0,64.0,8.0,24.0,266.0
21,35.0,8000.0,32000.0,64.0,8.0,24.0,270.0
21,38.0,16000.0,32000.0,128.0,16.0,32.0,426.0
21,48.0,4000.0,24000.0,32.0,8.0,24.0,151.0
21,38.0,8000.0,32000.0,64.0,8.0,24.0,267.0
21,30.0,16000.0,32000.0,256.0,16.0,24.0,603.0
22,112.0,1000.0,1000.0,0.0,1.0,4.0,19.0
22,84.0,1000.0,2000.0,0.0,1.0,6.0,21.0
22,56.0,1000.0,4000.0,0.0,1.0,6.0,26.0
22,56.0,2000.0,6000.0,0.0,1.0,8.0,35.0
22,56.0,2000.0,8000.0,0.0,1.0,8.0,41.0
22,56.0,4000.0,8000.0,0.0,1.0,8.0,47.0
22,56.0,4000.0,12000.0,0.0,1.0,8.0,62.0
22,56.0,4000.0,16000.0,0.0,1.0,8.0,78.0
22,38.0,4000.0,8000.0,32.0,16.0,32.0,80.0
22,38.0,4000.0,8000.0,32.0,16.0,32.0,80.0
22,38.0,8000.0,16000.0,64.0,4.0,8.0,142.0
22,38.0,8000.0,24000.0,160.0,4.0,8.0,281.0
22,38.0,4000.0,16000.0,128.0,16.0,32.0,190.0
23,200.0,1000.0,2000.0,0.0,1.0,2.0,21.0
23,200.0,1000.0,4000.0,0.0,1.0,4.0,25.0
23,200.0,2000.0,8000.0,64.0,1.0,5.0,67.0
24,250.0,512.0,4000.0,0.0,1.0,7.0,24.0
24,250.0,512.0,4000.0,0.0,4.0,7.0,24.0
24,250.0,1000.0,16000.0,1.0,1.0,8.0,64.0
25,160.0,512.0,4000.0,2.0,1.0,5.0,25.0
25,160.0,512.0,2000.0,2.0,3.0,8.0,20.0
25,160.0,1000.0,4000.0,8.0,1.0,14.0,29.0
25,160.0,1000.0,8000.0,16.0,1.0,14.0,43.0
25,160.0,2000.0,8000.0,32.0,1.0,13.0,53.0
26,240.0,512.0,1000.0,8.0,1.0,3.0,19.0
26,240.0,512.0,2000.0,8.0,1.0,5.0,22.0
26,105.0,2000.0,4000.0,8.0,3.0,8.0,31.0
26,105.0,2000.0,6000.0,16.0,6.0,16.0,41.0
26,105.0,2000.0,8000.0,16.0,4.0,14.0,47.0
26,52.0,4000.0,16000.0,32.0,4.0,12.0,99.0
26,70.0,4000.0,12000.0,8.0,6.0,8.0,67.0
26,59.0,4000.0,12000.0,32.0,6.0,12.0,81.0
26,59.0,8000.0,16000.0,64.0,12.0,24.0,149.0
26,26.0,8000.0,24000.0,32.0,8.0,16.0,183.0
26,26.0,8000.0,32000.0,64.0,12.0,16.0,275.0
26,26.0,8000.0,32000.0,128.0,24.0,32.0,382.0
27,116.0,2000.0,8000.0,32.0,5.0,28.0,56.0
27,50.0,2000.0,32000.0,24.0,6.0,26.0,182.0
27,50.0,2000.0,32000.0,48.0,26.0,52.0,227.0
27,50.0,2000.0,32000.0,112.0,52.0,104.0,341.0
27,50.0,4000.0,32000.0,112.0,52.0,104.0,360.0
27,30.0,8000.0,64000.0,96.0,12.0,176.0,919.0
27,30.0,8000.0,64000.0,128.0,12.0,176.0,978.0
27,180.0,262.0,4000.0,0.0,1.0,3.0,24.0
27,180.0,512.0,4000.0,0.0,1.0,3.0,24.0
27,180.0,262.0,4000.0,0.0,1.0,3.0,24.0
27,180.0,512.0,4000.0,0.0,1.0,3.0,24.0
27,124.0,1000.0,8000.0,0.0,1.0,8.0,37.0
27,98.0,1000.0,8000.0,32.0,2.0,8.0,50.0
28,125.0,2000.0,8000.0,0.0,2.0,14.0,41.0
29,480.0,512.0,8000.0,32.0,0.0,0.0,47.0
29,480.0,1000.0,4000.0,0.0,0.0,0.0,25.0
