V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,target
3.919,2.6909,0.0,0.0,0.0,0.0,0.0,31.4,2.0,0.0,0.0,0.0,3.106,2.55,9.002,0.0,0.96,1.142,0.0,0.0,0.0,1.201,0.0,0.0,0.0,0.0,1.932,0.011,0.0,0.0,4.489,0.0,0.0,0.0,0.0,2.949,1.591,0.0,7.253,0.0,0.0,2
4.17,2.1144,0.0,0.0,0.0,0.0,0.0,30.8,1.0,1.0,0.0,0.0,2.461,1.393,8.723,1.0,0.989,1.144,0.0,0.0,0.0,1.104,1.0,0.0,0.0,0.0,2.214,-0.204,0.0,0.0,1.542,0.0,0.0,0.0,0.0,3.315,1.967,0.0,7.257,0.0,0.0,2
3.932,3.2512,0.0,0.0,0.0,0.0,0.0,26.7,2.0,4.0,0.0,0.0,3.279,2.585,9.11,0.0,1.009,1.152,0.0,0.0,0.0,1.092,0.0,0.0,0.0,0.0,1.942,-0.008,0.0,0.0,4.891,0.0,0.0,0.0,1.0,3.076,2.417,0.0,7.601,0.0,0.0,2
3.0,2.7098,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,0.0,0.0,2.1,0.918,6.594,0.0,1.108,1.167,0.0,0.0,0.0,1.024,0.0,0.0,0.0,0.0,1.414,1.073,0.0,8.361,1.333,0.0,0.0,0.0,1.0,3.046,5.0,0.0,6.69,0.0,0.0,2
4.236,3.3944,0.0,0.0,0.0,0.0,0.0,29.4,2.0,4.0,0.0,-0.271,3.449,2.753,9.528,2.0,1.004,1.147,0.0,0.0,0.0,1.137,0.0,0.0,0.0,0.0,1.985,-0.002,0.0,10.348,5.588,0.0,0.0,0.0,0.0,3.351,2.405,0.0,8.003,0.0,0.0,2
4.236,3.4286,0.0,0.0,0.0,0.0,0.0,28.6,2.0,4.0,0.0,-0.275,3.313,2.522,9.383,1.0,1.014,1.149,0.0,0.0,0.0,1.119,0.0,0.0,0.0,0.0,1.98,-0.008,0.0,10.276,4.746,0.0,0.0,0.0,0.0,3.351,2.556,0.0,7.904,0.0,0.0,2
5.0,5.0476,1.0,0.0,0.0,0.0,0.0,11.1,0.0,3.0,0.0,0.0,2.872,0.722,9.657,0.0,1.092,1.153,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.0,2.0,0.446,0.0,18.375,0.8,0.0,0.0,0.0,1.0,4.712,4.583,0.0,9.303,0.0,0.0,2
4.525,3.8301,0.0,0.0,0.0,0.0,0.0,31.6,3.0,2.0,0.0,-0.039,3.418,2.468,9.786,5.0,0.98,1.142,0.0,0.0,0.0,1.179,0.0,0.0,0.0,0.0,2.119,-0.002,0.0,11.115,3.889,0.0,0.0,0.0,0.0,3.379,2.143,0.0,7.95,0.0,0.0,2
4.596,3.0777,0.0,0.0,0.0,0.0,2.0,44.4,2.0,0.0,0.0,0.0,2.97,0.875,9.54,0.0,0.968,1.115,0.0,0.0,0.0,1.328,1.0,0.0,0.0,0.0,2.175,0.041,0.0,0.0,1.069,0.0,0.0,0.0,0.0,3.626,1.917,0.0,7.939,0.0,0.0,2
5.04,3.6112,0.0,0.0,1.0,0.0,2.0,41.2,0.0,4.0,3.0,-1.29,3.483,1.258,10.159,8.0,1.069,1.127,0.0,1.0,0.0,1.199,1.0,0.0,0.0,0.0,2.323,0.005,0.0,30.959,1.711,0.0,1.0,2.0,1.0,3.888,3.5,1.0,8.706,0.0,0.0,2
4.91,2.7414,0.0,0.0,0.0,0.0,2.0,52.9,0.0,2.0,0.0,-0.302,3.364,0.629,10.06,5.0,1.018,1.098,0.0,0.0,0.0,1.279,3.0,0.0,0.0,0.0,2.333,0.004,0.0,10.717,1.207,0.0,1.0,0.0,0.0,3.767,2.5,0.0,8.427,0.0,0.0,2
3.618,2.1906,0.0,0.0,0.0,0.0,0.0,29.4,2.0,0.0,0.0,0.0,2.333,1.522,7.853,0.0,0.959,1.147,0.0,0.0,0.0,1.178,0.0,0.0,0.0,0.0,1.732,0.294,0.0,0.0,2.094,0.0,0.0,0.0,0.0,2.794,1.7,0.0,6.333,0.0,0.0,2
4.214,2.6272,0.0,0.0,0.0,0.0,0.0,30.0,3.0,0.0,0.0,0.0,2.523,1.459,8.755,0.0,0.959,1.145,0.0,0.0,0.0,1.213,0.0,0.0,0.0,0.0,1.902,-0.181,0.0,0.0,2.052,0.0,0.0,0.0,0.0,2.998,1.722,0.0,6.77,0.0,0.0,2
3.732,2.3391,0.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0,0.0,0.0,2.511,1.585,8.16,0.0,0.959,1.145,0.0,0.0,0.0,1.196,0.0,0.0,0.0,0.0,1.802,-0.181,0.0,0.0,2.488,0.0,0.0,0.0,0.0,2.846,1.667,0.0,6.557,0.0,0.0,2
3.879,2.5951,0.0,0.0,0.0,0.0,0.0,31.0,2.0,0.0,0.0,0.0,2.908,2.281,8.743,0.0,0.96,1.143,0.0,0.0,0.0,1.202,0.0,0.0,0.0,0.0,1.902,0.036,0.0,0.0,3.685,0.0,0.0,0.0,0.0,2.924,1.611,0.0,7.029,0.0,0.0,2
3.942,2.7719,1.0,0.0,0.0,0.0,0.0,31.6,2.0,0.0,0.0,0.0,3.44,2.777,9.207,0.0,0.969,1.141,0.0,0.0,0.0,1.22,0.0,0.0,1.0,0.0,1.95,0.003,0.0,0.0,5.294,0.0,0.0,0.0,0.0,3.542,1.739,0.0,8.127,0.0,1.0,2
3.966,2.852,1.0,0.0,0.0,0.0,0.0,32.0,2.0,0.0,0.0,0.0,4.075,3.146,9.522,0.0,0.965,1.138,0.0,0.0,0.0,1.243,0.0,1.0,0.0,0.0,1.97,0.0,1.0,0.0,6.909,0.0,0.0,0.0,0.0,6.866,1.603,0.0,11.578,0.0,1.0,2
3.732,2.3761,0.0,0.0,1.0,0.0,0.0,26.3,2.0,0.0,1.0,0.0,2.532,1.585,8.16,0.0,0.969,1.157,0.0,0.0,0.0,1.152,0.0,0.0,0.0,0.0,1.802,-0.195,0.0,0.0,2.488,0.0,0.0,1.0,2.0,2.858,2.0,1.0,6.599,0.0,0.0,2
4.0,2.6264,0.0,0.0,0.0,0.0,0.0,23.1,0.0,0.0,0.0,0.0,2.167,0.811,8.318,0.0,0.972,1.166,0.0,0.0,0.0,1.182,0.0,0.0,0.0,0.0,1.732,-0.522,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.991,2.0,1.0,6.579,0.0,0.0,2
2.0,1.1521,0.0,0.0,0.0,0.0,0.0,16.7,1.0,1.0,0.0,0.0,1.549,0.0,4.174,0.0,1.016,1.173,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,1.0,-1.099,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.279,4.0,0.0,4.948,0.0,0.0,2
3.732,2.4062,0.0,0.0,0.0,0.0,0.0,27.8,2.0,1.0,0.0,0.0,2.555,1.585,8.16,1.0,0.979,1.15,0.0,0.0,0.0,1.134,0.0,0.0,0.0,0.0,1.802,-0.205,0.0,0.0,2.488,0.0,0.0,0.0,1.0,2.874,2.333,0.0,6.649,0.0,0.0,2
4.0,2.3699,0.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,0.0,0.0,2.273,1.0,8.482,0.0,0.998,1.146,0.0,0.0,0.0,1.09,1.0,0.0,0.0,0.0,2.17,0.34,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.302,2.083,0.0,7.174,0.0,0.0,2
3.414,2.2525,0.0,0.0,0.0,0.0,0.0,20.0,2.0,2.0,0.0,0.0,2.243,1.0,7.408,0.0,1.031,1.166,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,1.618,-0.642,0.0,0.0,1.707,0.0,0.0,0.0,2.0,2.817,3.75,0.0,6.32,0.0,0.0,2
4.17,2.8042,0.0,0.0,0.0,0.0,0.0,23.1,2.0,2.0,0.0,0.0,2.449,0.971,8.597,1.0,1.015,1.16,0.0,0.0,0.0,1.044,0.0,0.0,0.0,0.0,1.848,0.391,0.0,0.0,1.542,0.0,0.0,0.0,2.0,3.047,3.367,0.0,6.782,0.0,0.0,2
4.303,2.9558,0.0,0.0,0.0,0.0,0.0,25.0,2.0,2.0,0.0,0.0,2.608,1.459,8.815,2.0,1.005,1.156,0.0,0.0,0.0,1.056,0.0,0.0,0.0,0.0,1.932,-0.229,0.0,0.0,1.745,0.0,0.0,0.0,2.0,3.083,3.056,0.0,6.914,0.0,0.0,2
3.414,2.6294,0.0,0.0,0.0,0.0,0.0,37.5,1.0,1.0,0.0,0.0,2.333,1.0,7.408,1.0,1.012,1.13,0.0,0.0,0.0,1.215,0.0,0.0,0.0,0.0,1.618,-0.66,0.0,0.0,1.707,0.0,0.0,0.0,1.0,3.188,3.5,0.0,7.035,0.0,0.0,2
4.214,3.0057,0.0,0.0,0.0,0.0,0.0,25.0,1.0,2.0,0.0,0.0,2.608,1.459,8.755,1.0,1.005,1.156,0.0,0.0,0.0,1.104,0.0,0.0,0.0,0.0,1.902,-0.236,0.0,0.0,2.052,0.0,0.0,0.0,1.0,3.087,2.722,0.0,6.989,0.0,0.0,2
3.848,2.8521,0.0,0.0,0.0,0.0,0.0,27.3,2.0,2.0,0.0,0.0,2.858,2.0,8.584,1.0,0.993,1.151,0.0,0.0,0.0,1.117,0.0,0.0,0.0,0.0,1.879,-0.076,0.0,0.0,3.284,0.0,0.0,0.0,1.0,2.997,2.375,0.0,7.074,0.0,0.0,2
3.414,2.3729,0.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,0.0,0.0,2.263,1.0,7.408,1.0,0.998,1.146,0.0,0.0,0.0,1.142,0.0,0.0,0.0,0.0,1.618,-0.589,0.0,9.174,1.707,0.0,0.0,0.0,0.0,3.038,3.125,0.0,6.735,0.0,0.0,2
4.393,3.6458,0.0,0.0,0.0,0.0,0.0,37.0,3.0,1.0,0.0,2.487,3.233,2.187,9.562,1.0,0.978,1.131,0.0,0.0,0.0,1.259,0.0,0.0,0.0,0.0,2.048,0.013,0.0,10.02,3.684,0.0,0.0,0.0,0.0,3.39,2.303,0.0,8.029,0.0,0.0,2
4.562,3.3225,0.0,0.0,0.0,0.0,0.0,31.3,3.0,1.0,0.0,0.259,2.634,0.918,9.184,2.0,0.984,1.143,0.0,0.0,0.0,1.206,0.0,0.0,0.0,0.0,2.0,-0.218,0.0,10.144,1.521,0.0,0.0,0.0,0.0,3.375,2.667,0.0,7.403,0.0,0.0,2
4.0,2.9193,0.0,0.0,0.0,0.0,0.0,30.0,2.0,1.0,0.0,0.167,2.279,0.811,8.318,0.0,0.998,1.146,0.0,0.0,0.0,1.195,0.0,0.0,0.0,0.0,1.732,-0.596,0.0,9.444,1.0,0.0,0.0,0.0,0.0,3.261,3.167,0.0,7.097,0.0,0.0,2
4.694,3.646,0.0,0.0,0.0,0.0,0.0,30.0,2.0,2.0,0.0,-0.671,2.917,1.406,9.425,4.0,0.998,1.146,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,2.101,-0.077,0.0,10.162,1.631,0.0,0.0,0.0,1.0,3.417,2.875,0.0,7.595,0.0,0.0,2
4.236,2.9879,0.0,0.0,0.0,0.0,0.0,33.3,0.0,2.0,0.0,-0.653,3.974,3.574,10.082,2.0,0.972,1.138,0.0,0.0,0.0,1.205,0.0,0.0,0.0,0.0,1.996,0.0,0.0,10.389,10.108,0.0,0.0,0.0,1.0,3.329,1.987,0.0,8.414,0.0,0.0,2
4.17,3.4453,0.0,0.0,0.0,0.0,0.0,27.3,1.0,2.0,0.0,-0.245,2.512,0.971,8.597,1.0,1.028,1.151,0.0,0.0,0.0,1.112,0.0,0.0,0.0,0.0,1.848,0.425,0.0,9.59,1.542,0.0,0.0,0.0,0.0,3.337,3.233,0.0,7.294,0.0,0.0,2
4.214,3.3939,0.0,0.0,0.0,0.0,0.0,28.6,2.0,2.0,0.0,-0.211,2.662,1.459,8.755,1.0,1.014,1.149,0.0,0.0,0.0,1.138,0.0,0.0,0.0,0.0,1.902,-0.249,0.0,9.822,2.052,0.0,0.0,0.0,0.0,3.344,2.944,0.0,7.382,0.0,0.0,2
4.214,3.7074,0.0,0.0,0.0,0.0,0.0,33.3,1.0,2.0,0.0,-0.329,2.713,1.459,8.755,1.0,1.025,1.139,0.0,0.0,0.0,1.186,0.0,0.0,0.0,0.0,1.902,-0.263,0.0,9.75,2.052,0.0,0.0,0.0,0.0,3.38,3.194,0.0,7.543,0.0,0.0,2
4.233,3.4039,0.0,0.0,0.0,0.0,0.0,27.8,1.0,3.0,0.0,-0.262,2.938,1.906,9.011,1.0,1.022,1.15,0.0,0.0,0.0,1.119,0.0,0.0,0.0,0.0,1.95,-0.087,0.0,10.041,2.999,0.0,0.0,0.0,0.0,3.349,2.833,0.0,7.61,0.0,0.0,2
4.334,3.6943,0.0,0.0,0.0,0.0,0.0,33.3,1.0,2.0,0.0,-0.241,2.838,1.557,8.944,3.0,1.013,1.139,0.0,0.0,0.0,1.164,0.0,0.0,0.0,0.0,1.97,0.149,0.0,10.118,2.195,0.0,0.0,0.0,0.0,3.39,2.952,0.0,7.596,0.0,0.0,2
4.372,3.3652,0.0,0.0,0.0,0.0,0.0,33.3,1.0,2.0,0.0,-0.177,3.139,2.246,9.253,3.0,0.993,1.139,0.0,0.0,0.0,1.186,0.0,0.0,0.0,0.0,2.024,-0.025,0.0,10.624,3.412,0.0,0.0,0.0,0.0,3.394,2.517,0.0,7.788,0.0,0.0,2
5.392,4.5881,0.0,0.0,0.0,1.0,0.0,30.8,6.0,3.0,0.0,-0.209,3.517,1.907,10.633,13.0,0.989,1.144,0.0,0.0,0.0,1.169,0.0,0.0,0.0,0.0,2.314,0.001,0.0,11.278,3.598,0.0,0.0,0.0,1.0,3.503,2.461,0.0,8.269,0.0,0.0,2
4.446,3.6985,0.0,0.0,0.0,0.0,0.0,30.0,0.0,4.0,0.0,-0.796,3.192,1.922,9.523,6.0,1.036,1.146,0.0,0.0,0.0,1.116,0.0,0.0,0.0,0.0,2.061,-0.028,0.0,20.804,3.132,0.0,0.0,0.0,0.0,3.431,3.133,0.0,8.008,0.0,0.0,2
4.411,3.5866,0.0,0.0,0.0,0.0,0.0,31.8,2.0,4.0,0.0,-0.328,3.699,2.948,9.956,8.0,0.995,1.142,0.0,0.0,0.0,1.164,0.0,0.0,0.0,0.0,2.08,0.0,0.0,22.47,6.131,0.0,0.0,0.0,0.0,3.393,2.407,0.0,8.325,0.0,0.0,2
4.527,3.7942,0.0,0.0,0.0,0.0,0.0,32.5,4.0,4.0,0.0,-0.117,4.14,3.427,10.56,10.0,0.981,1.14,0.0,0.0,0.0,1.184,0.0,0.0,0.0,0.0,2.13,0.0,0.0,23.699,9.594,0.0,0.0,0.0,0.0,3.393,2.086,0.0,8.693,0.0,0.0,2
4.347,3.1269,0.0,0.0,0.0,0.0,0.0,33.3,1.0,2.0,0.0,-0.076,3.809,3.309,9.933,3.0,0.975,1.138,0.0,0.0,0.0,1.202,0.0,0.0,0.0,0.0,2.019,0.0,0.0,10.914,8.395,0.0,0.0,0.0,0.0,3.358,1.96,0.0,8.298,0.0,0.0,2
4.562,3.8122,0.0,0.0,0.0,0.0,0.0,33.3,1.0,2.0,0.0,-0.759,2.723,0.918,9.184,4.0,1.025,1.139,0.0,0.0,0.0,1.179,0.0,0.0,0.0,0.0,2.0,-0.258,0.0,9.6,1.521,0.0,0.0,0.0,1.0,3.511,3.556,0.0,7.676,0.0,0.0,2
4.629,4.0061,0.0,0.0,0.0,0.0,0.0,33.3,1.0,2.0,0.0,0.086,2.847,1.379,9.312,5.0,1.013,1.139,0.0,0.0,0.0,1.189,0.0,0.0,0.0,0.0,2.053,0.149,0.0,10.19,1.776,0.0,0.0,0.0,0.0,3.523,2.976,0.0,7.747,0.0,0.0,2
4.655,2.409,0.0,0.0,0.0,0.0,0.0,35.0,1.0,3.0,0.0,0.094,3.204,2.182,9.765,6.0,1.02,1.135,0.0,0.0,0.0,1.157,1.0,0.0,0.0,0.0,2.256,0.014,0.0,10.698,2.989,0.0,0.0,0.0,0.0,3.542,2.667,0.0,8.185,0.0,0.0,2
4.644,3.9071,0.0,0.0,0.0,0.0,0.0,31.6,2.0,3.0,0.0,-0.104,3.082,1.837,9.467,5.0,1.021,1.142,0.0,0.0,0.0,1.149,0.0,0.0,0.0,0.0,2.084,0.049,0.0,10.469,2.732,0.0,0.0,0.0,1.0,3.525,3.093,0.0,7.886,0.0,0.0,2
4.646,3.9619,0.0,0.0,0.0,0.0,0.0,34.3,2.0,5.0,0.0,-0.189,3.707,2.587,10.202,10.0,1.017,1.137,0.0,0.0,0.0,1.184,0.0,0.0,0.0,0.0,2.107,0.0,0.0,21.879,6.086,0.0,0.0,0.0,0.0,3.535,2.775,0.0,8.578,0.0,0.0,2
4.468,4.1984,0.0,0.0,0.0,0.0,0.0,33.3,2.0,4.0,0.0,-1.073,3.37,2.252,9.651,6.0,1.025,1.139,0.0,0.0,0.0,1.158,0.0,0.0,0.0,0.0,2.085,-0.008,0.0,21.27,3.737,0.0,0.0,0.0,0.0,3.534,2.944,0.0,8.196,0.0,0.0,2
4.562,3.7287,2.0,0.0,0.0,0.0,0.0,25.0,1.0,2.0,0.0,-1.21,3.184,0.918,9.184,0.0,1.134,1.142,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,2.0,-0.271,0.0,9.435,1.521,0.0,0.0,0.0,1.0,3.976,4.037,0.0,8.593,0.0,2.0,2
5.206,3.3847,0.0,0.0,1.0,0.0,0.0,30.8,1.0,2.0,1.0,-0.947,3.713,2.9,10.416,0.0,0.979,1.145,0.0,0.0,0.0,1.187,0.0,0.0,0.0,0.0,2.218,0.0,0.0,10.57,6.77,0.0,0.0,2.0,0.0,3.47,2.167,1.0,8.295,0.0,0.0,2
4.691,3.8787,0.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,1.0,-2.498,3.125,1.436,9.666,4.0,1.066,1.161,0.0,0.0,0.0,1.078,0.0,0.0,0.0,0.0,2.117,0.052,0.0,19.617,2.428,0.0,0.0,2.0,4.0,3.483,4.019,1.0,8.015,0.0,0.0,2
4.17,3.6206,0.0,0.0,0.0,0.0,0.0,28.6,0.0,3.0,0.0,-1.426,2.612,0.971,8.597,0.0,1.124,1.149,0.0,0.0,0.0,1.095,0.0,0.0,0.0,0.0,1.848,0.481,0.0,17.905,1.542,0.0,0.0,0.0,1.0,3.427,4.733,0.0,7.521,0.0,0.0,2
4.214,3.3376,0.0,0.0,0.0,0.0,0.0,33.3,0.0,2.0,1.0,-1.072,2.774,1.459,8.755,2.0,1.071,1.148,0.0,0.0,0.0,1.187,0.0,0.0,0.0,0.0,1.902,-0.277,0.0,9.377,2.052,0.0,0.0,1.0,1.0,3.423,4.111,1.0,7.746,0.0,0.0,2
5.206,3.5794,0.0,0.0,1.0,0.0,0.0,30.6,1.0,3.0,3.0,-0.919,3.965,3.189,10.627,2.0,0.985,1.147,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,2.22,0.0,0.0,22.35,8.266,0.0,0.0,4.0,1.0,3.473,2.306,2.0,8.611,0.0,0.0,2
4.17,2.6629,0.0,0.0,0.0,0.0,0.0,26.7,3.0,1.0,0.0,0.0,2.4,0.971,8.597,2.0,0.983,1.152,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,1.848,0.342,0.0,0.0,1.542,0.0,0.0,0.0,1.0,3.0,2.567,0.0,6.683,0.0,0.0,2
5.175,3.9016,0.0,0.0,0.0,1.0,0.0,29.6,3.0,3.0,0.0,-0.239,3.227,1.859,10.165,3.0,1.002,1.146,0.0,0.0,0.0,1.146,0.0,0.0,0.0,0.0,2.175,0.014,0.0,10.355,3.341,0.0,0.0,0.0,0.0,3.389,2.538,0.0,7.979,0.0,0.0,2
4.642,3.0034,0.0,0.0,0.0,0.0,2.0,42.1,1.0,1.0,0.0,0.0,3.093,1.187,9.631,2.0,0.987,1.12,0.0,0.0,0.0,1.256,1.0,0.0,0.0,0.0,2.2,-0.024,0.0,0.0,1.487,0.0,1.0,0.0,1.0,3.639,2.315,0.0,8.009,0.0,0.0,2
4.607,2.9443,0.0,0.0,0.0,0.0,2.0,42.1,1.0,1.0,0.0,0.0,3.093,1.187,9.631,2.0,0.987,1.12,0.0,0.0,0.0,1.242,1.0,0.0,0.0,0.0,2.194,-0.024,0.0,0.0,1.544,0.0,1.0,0.0,1.0,3.635,2.315,0.0,8.009,0.0,0.0,2
4.807,3.2486,0.0,0.0,0.0,0.0,3.0,42.1,2.0,1.0,0.0,0.0,3.1,0.881,9.833,3.0,0.987,1.12,0.0,0.0,0.0,1.272,1.0,0.0,0.0,0.0,2.246,-0.024,0.0,0.0,1.06,0.0,1.0,0.0,1.0,3.71,2.333,0.0,8.114,0.0,0.0,2
4.828,3.3386,0.0,0.0,0.0,0.0,2.0,40.0,0.0,2.0,0.0,0.0,3.203,1.261,9.749,4.0,1.004,1.125,0.0,0.0,0.0,1.219,1.0,0.0,0.0,0.0,2.247,0.014,0.0,0.0,1.436,0.0,2.0,0.0,0.0,3.677,2.233,0.0,8.114,0.0,0.0,2
4.543,2.7023,0.0,0.0,0.0,0.0,1.0,42.9,1.0,2.0,0.0,-0.242,3.309,1.705,9.722,3.0,1.003,1.119,0.0,0.0,0.0,1.241,1.0,0.0,0.0,0.0,2.166,-0.008,0.0,10.395,2.905,0.0,0.0,0.0,0.0,3.573,2.485,0.0,8.245,0.0,0.0,2
4.521,2.7124,0.0,0.0,0.0,0.0,1.0,45.0,1.0,1.0,0.0,0.0,3.203,1.661,9.466,1.0,0.987,1.114,0.0,0.0,0.0,1.268,1.0,0.0,0.0,0.0,2.154,0.014,0.0,0.0,2.593,0.0,0.0,0.0,1.0,3.587,2.317,0.0,8.061,0.0,0.0,2
